,PPO,CPPO,PPO-DeepSeek 10%,PPO-DeepSeek 1%,PPO-DeepSeek 0.1%,CPPO-DeepSeek 10%,CPPO-DeepSeek 1%,CPPO-DeepSeek 0.1%,CPPO-DeepSeek Phase1 EP90,CPPO-DeepSeek Phase1 EP100,CPPO-DeepSeek Phase1 EP110,Nasdaq-100
2023-07-10,3297330.3493004963,2146207.1507074824,1749789.7081188392,1200755.616916776,2007283.2591609734,1397784.3368751223,2334539.2411204274,823358.4544760422,2219015.129740937,2041888.5573802884,1725870.7772999562,2365343.0067347493
2023-07-11,3351871.439959963,2169632.9500436257,1750468.223871035,1235473.7277010335,2019898.6804151188,1411409.1171965576,2340562.855717378,847699.0121591089,2259110.3099221596,2057195.6116522881,1747121.6865148114,2376885.440477676
2023-07-12,3379956.638487812,2192153.4133034586,1760259.979800511,1235106.5707005835,2040727.5042963678,1411160.3603463515,2350426.918310183,840433.1725865823,2268758.7345142975,2071849.129918089,1764060.5614697984,2406468.0125111863
2023-07-13,3363291.5273469123,2171607.12854632,1765643.7363868437,1222664.241899911,2026727.4891991334,1398710.7910383786,2351973.0947272507,832997.3452983277,2235001.374929876,2056003.4438065179,1742277.6979699784,2448089.676705308
2023-07-14,3438057.5445056176,2219849.9050488668,1782354.7785281574,1227320.2382549318,2055388.724501105,1402533.6059059608,2395340.8580381107,828511.9303128336,2297507.6818744866,2079038.0957563417,1761554.5972015187,2447086.534170176
2023-07-17,3458503.2788556204,2250786.1060964274,1787345.2104932757,1210248.574449237,2063777.8426493036,1405990.5079988458,2426458.214444925,817777.1025667895,2305113.0864381883,2114090.7768511074,1790627.6580052164,2470303.5880231475
2023-07-18,3481625.5516091613,2249154.472097524,1781684.1958773495,1225956.807552959,2070122.8090479039,1414413.834559377,2432421.328938561,831200.5865145117,2319037.714039266,2118117.9016779475,1799863.2778680832,2490437.5215225043
2023-07-19,3422975.0627918732,2186218.856716967,1759150.2091901426,1205182.8531104452,2055640.690781339,1411550.8959557489,2526471.994341633,826777.9488252926,2326098.0873342133,2056034.4933502628,1744888.142144828,2488079.353579495
2023-07-20,3446847.4945904994,2202172.424374018,1765957.4078851568,1231460.6079808257,2072311.5434284387,1427662.9040071173,2489246.23705218,847129.301760594,2308407.172322426,2049469.9707155686,1739944.371852095,2431442.4848826234
2023-07-21,3430618.016339932,2188147.0511785164,1769198.2546367156,1223752.6924516365,2058013.5288583871,1433554.0211945283,2442020.7932871077,839594.2653732621,2277692.7649232848,2052446.3773655014,1738222.601095584,2425088.020614318
2023-07-24,3434082.3051852565,2197485.5843628854,1776632.267226535,1233080.4227366645,2069649.9038684876,1442178.3247582333,2394720.4068834116,845910.5568905757,2262439.642106956,2057127.0320458536,1745251.577072733,2428601.629438779
2023-07-25,3413942.295716418,2182088.854664863,1721177.6982244994,1227809.5840897663,2070510.3720595161,1444215.8458092054,2377035.1207679594,851139.0272162382,2226609.1985247573,2046387.1682658542,1730534.1387271208,2446429.440498556
2023-07-26,3376413.9620300694,2178522.864228175,1691988.115905617,1223905.3307309751,2078596.0064751108,1438068.2569049904,2374402.711444328,845999.9390435982,2188160.8818847025,2012930.9835777134,1714279.9510306166,2436657.1679784744
2023-07-27,3441895.2824807987,2230164.8423238215,1714693.7343225603,1232616.8617094655,2114658.4114574473,1454548.1448575922,2395377.7827942567,857796.2099635776,2181458.21648957,2049472.671847233,1736683.9591473895,2431260.0953307813
2023-07-28,3455168.8061688785,2255691.8367203604,1733379.7129454655,1232625.2147066342,2124044.0835987804,1460755.2667019262,2396689.5659768647,858809.6596234282,2183465.2496776027,2072246.8121928838,1756925.8532881357,2476222.497444167
2023-07-31,3429441.6233569314,2245338.1968396385,1729604.761791056,1219506.1703666486,2129286.475766845,1457097.7398459453,2406113.6720174253,849215.4492873207,2177131.3136608936,2072811.1003461778,1754586.1803792955,2477176.818533603
2023-08-01,3328110.350906714,2191271.876755426,1686477.4005929017,1197861.0881997505,2084254.708165946,1439059.6265805664,2379799.9153833576,845390.8721424288,2118186.9232690036,2030928.8927180837,1711408.136819648,2471047.117147366
2023-08-02,3459434.3116621263,2249724.792205912,1672101.5687770592,1181549.1199483147,2071523.2736723493,1433739.0107416755,2374522.423434692,831065.275541805,2120859.1600131514,2033638.6960169172,1701363.9787315254,2416452.4587355154
